관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
44790-00005,향교공원,근린공원,,충청남도 청양군 청양읍 교월리 산5-1,36.45570452,126.816207,34000,,,,,,1987-03-02,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00006,교월공원,근린공원,,충청남도 청양군 청양읍 교월리 산19-1,36.448076,126.810827,34720,,,,,,1987-03-02,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00007,지천생태공원,근린공원,,충청남도 청양군 청양읍 교월리 59,36.45349758,126.811661,14148,,,,,,2009-09-17,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00008,벽천1공원,소공원,,충청남도 청양군 청양읍 벽천리 766,36.437889,126.797178,2240,,미끄럼틀 1개,,,,2001-06-25,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00009,벽천2공원,소공원,,충청남도 청양군 청양읍 벽천리 767,36.43750711,126.79731,559,,,,,,2001-06-25,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00010,읍내1공원,소공원,,충청남도 청양군 청양읍 읍내리 387-1,36.445203,126.799506,1350,,,정자1개소+운동시설 3개소,,,2012-12-10,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00011,읍내2공원,소공원,,충청남도 청양군 청양읍 읍내리 380-1,36.44480767,126.8004332,2210,,,,,,2012-12-10,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00012,정산 어린이공원,어린이공원,,충청남도 청양군 정산면 서정리 101-5,36.4130777,126.9479927,550,,그네1+흔들놀이기구2+조합놀이대1+충격흡수용표면재(포설도포바닥재1),,,,2018-08-31,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
44790-00013,제3소공원,소공원,,충청남도 청양군 청양읍 읍내리 15-10,36.4536083,126.8079633,696,,,,,,2018-08-31,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
11740-00047,원터공원,근린공원,서울특별시 강동구 양재대로147길 18(명일동),서울특별시 강동구 명일2동 37,37.5524155,127.1430368,24508.5,배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00048,송림공원,근린공원,서울특별시 강동구 고덕로 지하253(고덕동),서울특별시 강동구 고덕동 310,37.55504732,127.1539494,11491,배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00049,까치공원,근린공원,서울특별시 강동구 고덕로 55길70(고덕동),서울특별시 강동구 고덕1동 493,37.557079,127.149995,19464.8,농구장+체력단련기구,,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00050,두레공원,근린공원,,서울특별시 강동구 고덕1동 497,37.558206,127.152203,13460.2,농구장+체력단련기구,,간이화장실+먹는물공동시설,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00051,동자공원,근린공원,,서울특별시 강동구 고덕1동 648,37.559711,127.152467,6416.6,체력단련기구,조합놀이대,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00052,샘터공원,근린공원,,서울특별시 강동구 고덕2동 287,37.561901,127.159087,63320.9,배드민턴장+족구장+체력단련기구,조합놀이대+시소+흔들놀이+모험놀이,화장실+음수대+먹는물공동시설,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00053,방죽공원,근린공원,서울특별시 강동구 동남로82길94-58(고덕동),서울특별시 강동구 고덕2동 296,37.5591586,127.1598268,87748.6,농구장+배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00054,동명공원,근린공원,,서울특별시 강동구 고덕2동 229 외1,37.561146,127.164455,99599.9,축구장+농구장+배드민턴장+게이트볼장+체력단련기구,,주차장+화장실+음수대+시계탑,,관리사무소,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00055,상일공원,근린공원,서울특별시 강동구 상암로79가길3(상일동),서울특별시 강동구 상일동 188,37.5469247,127.167312,9704,체력단련기구,,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00056,방아다리공원,어린이공원,서울특별시 강동구 동남로65길46-8(명일동),서울특별시 강동구 명일2동 236,37.548156,127.153648,2010.4,체력단련기구,조합놀이대+그네+시소+흔들놀이,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00057,둔촌공원,어린이공원,,서울특별시 강동구 둔촌2동 79-4,37.531437,127.143288,2226,체력단련기구,조합놀이대+그네+시소+흔들놀이+모래놀이터,음수대,,,1990-02-21,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00058,암사동공원,소공원,,서울특별시 강동구 암사동 518-1,37.54888077,127.1233123,1022,,,,,,1999-07-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00059,솔말소공원,근린공원,,서울특별시 강동구 암사3동 400-1,37.556493,127.139147,1108.6,체력단련기구,,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00060,솜다래공원,근린공원,,서울특별시 강동구 암사1동 413-4,37.553691,127.141229,3993.8,,,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
11740-00061,암사공원,근린공원,,서울특별시 강동구 암사3동 414-20,37.5565294,127.1417157,7047,체력단련기구,그네,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,서울특별시 강동구
44800-00057,남당리 4호소공원(남당취락),소공원,,충청남도 홍성군 서부면 남당리 509-14,36.54056694,126.471532,630,,,,,,2008-10-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00058,남당리 6호소공원(남당유통형),소공원,,충청남도 홍성군 서부면 남당리 859-2,36.538815,126.4716002,2395,,,,,,2005-02-11,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00059,고암 2호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 1137,36.591093,126.6701356,2183,,,,,,2016-02-25,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00060,옥암 1호소공원,소공원,,충청남도 홍성군 홍성읍 옥암리 1377,36.593314,126.651349,1142,,,,,,2007-01-13,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00061,홍성산단 1호소공원,소공원,,충청남도 홍성군 갈산면 취생리 645,36.627802,126.532262,1806,,,,,,2010-06-24,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00062,홍성읍 24호소공원(오관지구),소공원,,충청남도 홍성군 홍성읍 오관리 470-1,36.597376,126.6639724,901,,,,,,2011-06-13,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00063,25호 소공원,소공원,,충청남도 홍성군 홍성읍 오관리 806-1,36.60445188,126.6591555,1210,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00064,광천 6호 소공원,소공원,,충청남도 홍성군 광천읍 옹암리 509-15,36.48512015,126.6160376,772,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00065,7호 소공원,소공원,,충청남도 홍성군 서부면 거차리 405-38,36.5608516,126.4706011,9259,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00066,역세권1호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 492-4,36.60240225,126.678417,1143,,,,,,2001-08-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00067,역세권2호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 475-1,36.6022418,126.6802195,2714,,,,,,2001-08-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00068,역세권3호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 431-1,36.59745492,126.6802622,2594,,,,,,2001-08-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00069,역세권4호 소공원,소공원,,충청남도 홍성군 홍성읍 고암리 463-1,36.60166062,126.6804551,961,,,,,,2001-08-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00070,오관공원,소공원,,충청남도 홍성군 홍성읍 오관리 359,36.59705184,126.6659825,465,,,,,,2020-06-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00071,신진공원,소공원,,충청남도 홍성군 광천읍 신진리 398-2,36.50578364,126.6231039,579,,,,,,2020-06-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00072,27호 소공원,소공원,,충청남도 홍성군 홍성읍 남장리 439-3,36.57675699,126.652731,4000,,,,,,2020-07-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00073,두레2소공원(홍성1),소공원,,충청남도 홍성군 홍북읍 신경리 599,36.660257,126.682714,1371.3,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00074,두레4소공원(홍성3),소공원,,충청남도 홍성군 홍북읍 신경리 664,36.657683,126.683178,1129.8,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00075,두레5소공원(홍성4),소공원,,충청남도 홍성군 홍북읍 신경리 634,36.658983,126.682774,1340.8,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00076,두레6소공원(홍성5),소공원,,충청남도 홍성군 홍북읍 신경리 847,36.657681,126.685889,1409.2,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00077,소공원,소공원,,충청남도 홍성군 홍북읍 신경리 512-48일원,36.6464626,126.6635056,738,,,,,,2012-09-19,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00078,소공원,소공원,,충청남도 홍성군 홍북읍 신경리 512-52일원,36.645986,126.6636032,1156,,,,,,2012-09-19,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00079,천주교역사공원,역사공원,,충청남도 홍성군 홍성읍 오관리 1,36.604529,126.668934,5134,,,화장실,,,2009-08-31,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00080,만해공원,역사공원,,충청남도 결성면 성곡리 20-1,36.334433,126.339821,50496,,,,,,2020-01-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00081,홍예공원(홍성1),문화공원,,충청남도 홍성군 홍북읍 신경리 886,36.654562,126.665506,204699.3,,,주차장+ 화장실+ 전망대,보훈전시관,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00082,(홍성2),문화공원,,충청남도 홍성군 홍북읍 신경리 461-106일원,36.653899,126.663679,363,,,,,,2016-11-22,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00083,어사리노을공원,수변공원,,충청남도 홍성군 서부면 어사리 490-1,36.556225,126.468573,11290,,,주차장+ 화장실,,,2005-11-15,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44790-00001,제1어린이공원,어린이공원,,충청남도 청양군 청양읍 읍내리 216-13,36.45273244,126.8015043,1619,,그네1+물이용놀이기구(조합놀이대형)1+물이용놀이기구(기타+단품)3+조합놀이대1+정글짐2+충격흡수용표면재(포설도포바닥재1),,,,1987-03-02,충청남도 청양군,041-940-2386,2022-07-28,4590000,충청남도 청양군
42210-00041,해맞이공원,근린공원,강원도 속초시 동해대로 3664 (대포동),강원도 속초시 대포동 178-9,38.1631289,128.6085042,56540,,조합놀이대+흔들놀이기구,안내소+화장실+파고라+분수,,조각품,2000-10-20,강원도 속초시청,033-639-2422,2022-07-06,4230000,강원도 속초시
44800-00030,월산어린이공원,어린이공원,,충청남도 홍성군 홍성읍 월산리 858-5,36.60030556,126.6513217,1503,,조합놀이대,,,,2003-03-20,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00031,남장골어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 528,36.587287,126.664107,2099,,조합놀이대,화장실,,,2012-11-06,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00032,숲자락어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 599,36.586978,126.668698,1727,,조합놀이대,,,,2012-11-06,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00033,대교공원(홍성18호),어린이공원,,충청남도 홍성군 홍성읍 대교리 625,36.60289662,126.6729908,1663,,조합놀이대,화장실,,,1985-07-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00034,대교제2공원,어린이공원,,충청남도 홍성군 홍성읍 대교리 540,36.60331803,126.6704498,1700,,조합놀이대,화장실,,,1995-02-06,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
42210-00037,도화만리공원,근린공원,,강원도 속초시 노학동 산187-3,38.19604507,128.5566913,79669,,,,,,1964-07-21,강원도 속초시청,033-639-2422,2022-07-06,4230000,강원도 속초시
44800-00035,옥암 1호어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1177,36.590757,126.646564,1586,,조합놀이대,,,,2007-01-13,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00036,옥암 2호어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1255,36.593095,126.6523459,1612,,조합놀이대,,,,2007-01-13,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00037,옥암어린이공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 1073,36.59523073,126.657157,2700,,조합놀이대,화장실,,,1999-03-13,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00038,웅덩이공원(홍북3호),어린이공원,,충청남도 홍성군 홍북읍 신경리 948,36.65120033,126.684213,3916,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00039,지형놀이공원(홍북10호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1371,36.645698,126.676651,6945,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00040,구리구리숲공원(홍북1호),어린이공원,,충청남도 홍성군 홍북읍 신경리 720,36.659104,126.684758,5209,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00041,기차바람길공원(홍북6호),어린이공원,,충청남도 홍성군 홍북읍 신경리 975,36.647746,126.6845998,5277,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00042,나뭇잎공원(홍북7호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1069,36.645487,126.685671,1593,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00043,모래언덕공원(홍북11호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1429,36.63999846,126.683957,1845,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00044,물빛공원(홍북9호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1334,36.641115,126.686243,1840,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00045,방울숲공원(홍북2호),어린이공원,,충청남도 홍성군 홍북읍 신경리 803,36.65942234,126.685398,1704,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00046,숲속마을놀이터공원(홍북5호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1128,36.648595,126.686977,3160,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00047,숲소리놀이터공원(홍북8호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1278,36.642798,126.685816,2076,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00048,숲속소리공원(홍북4호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1074,36.650199,126.686744,1756,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00049,숲속의성공원(홍북12호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1503,36.639444,126.685271,1976,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00050,웅덩이공원(홍북3호),어린이공원,,충청남도 홍성군 홍북읍 신경리 948,36.65120033,126.684213,3916,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00051,지형놀이공원(홍북10호),어린이공원,,충청남도 홍성군 홍북읍 신경리 1371,36.645698,126.676651,6945,,조합놀이대,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00052,광천생활체육공원(광천1호),체육공원,,충청남도 홍성군 광천읍 광천리 32-4,36.50626006,126.6350386,87005,축구장+ 국궁장+ 테니스장+ 족구장+ 농구장,,주차장+ 화장실,,,2000-06-17,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00053,신리체육공원(홍성1),체육공원,,충청남도 홍성군 홍북읍 신경리 1557,36.648246,126.666316,48487.1,야구장+ 풋살장+ 테니스장,,주차장+ 화장실,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00054,나루공원(홍성2),체육공원,,충청남도 홍성군 홍북읍 신경리 198-115일원,36.641796,126.673125,25562,축구장+ 육상트랙,,주차장,,,2020-09-29,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00055,광천 5호 소공원,소공원,,충청남도 홍성군 광천읍 옹암리 475,36.48769961,126.617557,1052,,,,,,2016-02-29,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00056,남당리 5호소공원(남당유통형),소공원,,충청남도 홍성군 서부면 남당리 859-3,36.538895,126.472284,2466,,,,,,2005-02-11,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00002,숲자락근린공원,근린공원,,충청남도 홍성군 홍성읍 남장리 601,36.58650804,126.669452,20371,,,,,,2012-11-06,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00003,석당공원(결성근린1호),근린공원,,충청남도 홍성군 결성면 읍내리 319-1,36.523292,126.545695,122461,,,,,,1977-03-17,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00004,역재방죽공원(홍성근린8호),근린공원,,충청남도 홍성군 홍성읍 고암리 664-2,36.592255,126.676184,66437,,,주차장,문화원,,1996-01-05,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00005,염산공원(광천근린1호),근린공원,,충청남도 홍성군 광천읍 소암리 산34,36.5106231,126.6386421,21682,,,,,,1977-02-17,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00006,옹암공원(광천근린2호),근린공원,,충청남도 홍성군 광천읍 옹암리 산8-1,36.49504297,126.6283553,45305,,,,,,1977-02-17,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00007,월산근린공원,근린공원,,충청남도 홍성군 홍성읍 월산리 849,36.60169908,126.648049,10182,농구장,조합놀이대,화장실,,,2000-06-17,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00008,고암근린공원,근린공원,,충청남도 홍성군 홍성읍 고암리 1040,36.600225,126.6764468,3214,,,,,,1997-11-29,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00009,홍성산단 1호근린공원,근린공원,,충청남도 홍성군 갈산면 취생리 산133-2,36.628613,126.534556,88483,,,,,,2009-01-28,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00010,노변공원,근린공원,,충청남도 홍성군 홍성읍 대교리 410-2,36.6043428,126.6638341,15667,,,주차장+ 화장실,,,1985-07-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00011,홍주공원(홍성근린6호),근린공원,,충청남도 홍성군 홍성읍 오관리 98,36.601719,126.661389,78000,,,주차장+ 화장실,역사관,,1985-07-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00012,해양공원,근린공원,,충청남도 홍성군 서부면 남당리 146-1,36.53267782,126.4820503,15530,,,,,,2007-09-27,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00013,남당공원,근린공원,,충청남도 홍성군 서부면 남당리 160-59,36.53622923,126.4794975,17599,,,,,,2007-09-27,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00014,속동해안공원,근린공원,,충청남도 홍성군 서부면 상황리 629-13,36.57237392,126.4659197,17638,,,,,,2020-06-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00015,내포시민1공원(홍북근린1호),근린공원,,충청남도 홍성군 홍북읍 신경리 545,36.660663,126.678872,10035,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00016,내포시민2공원(홍북근린2호),근린공원,,충청남도 홍성군 홍북읍 신경리 547,36.66101698,126.680346,10035,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00017,산학1공원(홍북근린11호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-110일원,36.637261,126.676472,13341.3,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00018,산학2공원(홍북근린14호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-3일원,36.635625,126.677661,10208.1,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00019,산학3공원(홍북근린12호),근린공원,,충청남도 홍성군 홍북읍 신경리 198-142일원,36.636937,126.669078,10366.4,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00020,신리천공원(홍북근린3호),근린공원,,충청남도 홍성군 홍북읍 신경리 934,36.653942,126.681202,107967,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00021,신리천공원(홍북근린5호),근린공원,,충청남도 홍성군 홍북읍 신경리 1172,36.64942104,126.6734093,41109,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00022,자경천1공원(홍북근린6호),근린공원,,충청남도 홍성군 홍북읍 신경리 1201,36.647994,126.675595,17990,배드민턴장,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00023,자경천2공원(홍북근린7호),근린공원,,충청남도 홍성군 홍북읍 신경리 1375,36.641983,126.682822,26358,,조합놀이대,화장실,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00024,하산공원(홍북근린9호),근린공원,,충청남도 홍성군 홍북읍 상하리 산15-1,36.641322,126.666229,129340,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00025,한울공원(홍북근린4호),근린공원,,충청남도 홍성군 홍북읍 신경리 1203,36.648897,126.679875,10356,,,,,,2009-03-20,충청남도 홍성군,041-630-9593,2022-07-29,4600000,충청남도 홍성군
44800-00026,고암어린이공원,어린이공원,,충청남도 홍성군 홍성읍 고암리 981,36.60081432,126.6745874,1700,,조합놀이대,화장실,,,1996-01-05,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00027,남문공원,어린이공원,,충청남도 홍성군 홍성읍 옥암리 963,36.59653757,126.6548113,2200,,조합놀이대,화장실,,,1985-07-30,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00028,남장어린이공원,어린이공원,,충청남도 홍성군 홍성읍 남장리 111-9,36.591829,126.665057,3406,,,,,,1996-01-05,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
44800-00029,광천4호 어린이공원,어린이공원,,충청남도 홍성군 광천읍 소암리 349-1,36.50098914,126.6364595,8875,,,,,,2018-02-28,충청남도 홍성군,041-630-1269,2022-07-29,4600000,충청남도 홍성군
27140-00112,국립신암선열공원,묘지공원,,대구광역시 동구 신암동 산27-1,35.890628,128.631121,28751,,,,,,2019-12-30,대구광역시 동구청,,2022-03-18,3420000,대구광역시 동구
27140-00113,가로공원,기타,,대구광역시 동구 효목동 118-32,35.885049,128.641136,1417,,,,,,2018-12-31,대구광역시 동구청,,2022-03-18,3420000,대구광역시 동구
27140-00114,가로공원,기타,,대구광역시 동구 효목동 89-29,35.8853888,128.641794,1419,,,,,,2018-12-31,대구광역시 동구청,,2022-03-18,3420000,대구광역시 동구
27140-00115,가로공원,기타,,대구광역시 동구 효목동 83-13,35.886987,128.6408038,1334,,,,,,2018-12-31,대구광역시 동구청,,2022-03-18,3420000,대구광역시 동구
28185-00084,동춘2근린공원,근린공원,,인천광역시 연수구 동춘동 산58-2,37.4053692,126.666397,10501.7,,,,,,2005-04-20,인천광역시 연수구청,032-749-8695,2021-10-22,3520000,인천광역시 연수구
28185-00085,동춘3공원,어린이공원,,인천광역시 연수구 동춘동 303,37.408271,126.665755,1500.2,,,,,,2005-04-20,인천광역시 연수구청,032-749-8695,2021-10-22,3520000,인천광역시 연수구
28185-00086,동춘4공원,어린이공원,,인천광역시 연수구 동춘동 514-2,37.402769,126.6665036,1681.5,,,,,,2005-04-20,인천광역시 연수구청,032-749-8695,2021-10-22,3520000,인천광역시 연수구
11140-00001,정동공원,역사공원,서울특별시 중구 정동길 21-18,서울특별시 중구 정동 15-1,37.56773915,126.9713585,8230,,,화장실,,,1984-09-20,서울특별시 중구청,02-3396-5852,2021-10-22,3010000,서울특별시 중구
11140-00002,훈련원공원,근린공원,서울특별시 중구 을지로 227,서울특별시 중구 을지로5가 40-3,37.56692913,127.0043893,16735,,,화장실,,,1989-03-14,서울특별시 중구청,02-3396-5852,2021-10-22,3010000,서울특별시 중구
11140-00003,응봉공원,근린공원,서울특별시 중구 신당동 산36,서울특별시 중구 신당동 산36,37.548628,,107695,배드민턴장,,화장실,,,1977-07-09,서울특별시 중구청,02-3396-5854,2021-10-22,3010000,서울특별시 중구
